Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight in g,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
Meizu NaNte 9,Snapdragon 675,Octa-core2Â GHz (2x 2Â GHz Kryo 460 Gold + 6x 1.7Â GHz Kryo 460 Silver),AdreNaN 612,64 or 128 GB,NaN,4/6 GB,Android 9.0,Flyme 7.2,153.1 x 74.4 x 8.7Â mm,170,4000 mAh,USB-C18W,"6.2"" 2244x1080 LCD",Dual 48 MP + 5 MP (rear camera) 20 MP (front camera),Rear-mounted,Yes
Meizu 16Xs,Snapdragon 675,Octa-core2Â GHz (2x 2Â GHz Kryo 460 Gold + 6x 1.7Â GHz Kryo 460 Silver),AdreNaN 612,64 or 128 GB,NaN,6Â GB,Android 9.0,Flyme 8,152 x 74.4 x 8.3Â mm,165,4000 mAh,USB-C24W,"6.2"" 2232x1080 AMOLED",Triple 48 MP + 8 MP + 5 MP (rear camera) 16 MP (front camera),Under screen,Yes
Meizu 16s,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,6/8Â GB,Android 9.0,Flyme 7.3,151.9 x 73.4 x 7.6Â mm,165,3600 mAh,USB-C24W,"6.2"" 2232x1080 AMOLED",Dual 48 MP + 20 MP (rear camera) 20 MP (front camera),Under screen,Yes
Meizu 16T,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,6/8Â GB,Android 9.0,Flyme 8,159.6 x 78.2 x 8.3Â mm,183,4500 mAh,USB-C 18W,"6.5"" 2232x1080 AMOLED",Triple 12 MP + 8 MP + 5 MP (rear camera) 16 MP (front camera),Under screen,Yes
Meizu 16s Pro,Snapdragon 855+,Octa-core2.96Â GHz (1x 2.96Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,6/8 GB,Android 9.0,Flyme 8,151.9 x 73.4 x 7.7Â mm,166,3600 mAh,USB-C 24W,6.2'' 2232x1080 AMOLED,Triple 48 MP + 20 MP + 16 MP (rear camera) 20 MP (front camera),Under screen,Yes
Meizu M10,Mediatek Helio P25,Octa-core 2.6GHz (4x Cortex-A53 2.6GHz+4x Cortex-A53 1.6GHz),Mali-T880 MP2,32 GB,NaN,2/3 GB,Android 8.1,Flyme 7,164.8 x 76.3 x 8.45 mm,184,4000mAh,Micro-USB,6.5'' 1600x720 LCD,Triple 13 MP + 2 MP + 2 MP (rear camera) 8 MP (front camera),Rear-Mounted,Yes
Smartisan Pro 3,Snapdragon 855+,Octa-core2.96Â GHz (1x 2.96Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 485),AdreNaN 640,128 or 256Â GB,NaN,8/12 GB,Android 9.0,Smartisan OS 7.0,156.66 x 74.38 x 7.8 mm,185,4000 mAh,USB-C 18W,6.39'' 2340x1080 AMOLED,Quad 48 MP + 13 MP + 8 MP+ 5 MP (rear camera) 20 MP (front camera),Under screen,Yes
Redmi NaNte 7,Snapdragon 660,Octa-core2.2Â GHz (4x 2.2Â GHz + 4x 1.8Â GHz Kryo 260),AdreNaN 512,32 or 64 GB,microSD up to 256 GB,3/4/6 GB,Android 9.0,MIUI 10,159.2 x 75.2 x 8.1Â mm,186,4000 mAh,USB-C 18W,"6.3"" 2340x1080 IPS LCD",Dual 48 MP + 5 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Redmi NaNte 7 Pro,Snapdragon 675,Octa-core2Â GHz (2x 2Â GHz Kryo 460 Gold + 6x 1.7Â GHz Kryo 460 Silver),AdreNaN 612,64 or 128 GB,microSD up to 256 GB,4/6 GB,Android 9.0,MIUI 10,159.2 x 75.2 x 8.1Â mm,186,4000 mAh,USB-C 18W,"6.3"" 2340x1080 IPS LCD",Dual 48 MP + 5 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
Redmi NaNte 8,Snapdragon 665,Octa-core2Â GHz (4x 2Â GHz Kryo 260 Gold + 4x 1.8Â GHz Kryo 260 Silver),AdreNaN 610,64 or 128 GB,microSD up to 256 GB,4/6 GB,Android 9.0,MIUI 10,158.3 x 75.3 x 8.4Â mm,190,4000 mAh,USB-C 18W,"6.3"" 2340x1080 IPS LCD",Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 13 MP (front camera),Rear-mounted,Yes
